fd88e8bbf5039fed7ffc7da33d06bddf,Aaron Lima,Just signed up for my domain name with @DynInc - super easy. #DNS http://t.co/MdXY5Uq3
fd88e8bbf5039fed7ffc7da33d06bd43,abihub,exciting RT @plusgrace: Big news on the #NH tech scene! Congrats to @DynInc &amp; @incutio: http://t.co/umCOhMqF
fd88e8bbf5039fed7ffc7da33d06bd43,Adam Coughlin,How Dyn client @GymGlish approaches the learning of #language: http://t.co/7JmeQvN1 via @dyninc
fd88e8bbf5039fed7ffc7da33d06bd43,Adam Coughlin,Nice shout out for @DynInc in @xconomy: http://t.co/KNNHHAhl
fd88e8bbf5039fed7ffc7da33d06bd43,Adam Coughlin,RT @kgwelch: Spread the word...upcoming #SFO #DynTini is locked down! Mark your calendars http://t.co/w92vRLIB @DynInc
fd88e8bbf5039fed7ffc7da33d06bddf,Adam Coughlin,#IaaS leader @DynInc acquires #SEO &amp; #ecommerce talent from @incutio http://t.co/tmja7lqD via @dyninc
fd88e8bbf5039fed7ffc7da33d06bddf,Adam Webb,RT @kyork20: Big news coming Tuesday for @DynInc &amp; @incutio #bigthings #staytuned
fd88e8bbf5039fed7ffc7da33d06bddf,Adam Wolff,@kyork20 @DynInc @incutio congrats on the acquisition. Great stuff going on.
fd88e8bbf5039fed7ffc7da33d06bddf,adil abdouna,'@DynInc @adilabd still not working , ok we are waiting 

Thanks again'
fd88e8bbf5039fed7ffc7da33d06bddf,adil abdouna,'@DynInc hi

the dyndns mine.nu is down in morroco dont work while updating plz fix bro

plz fih as soon'
fd88e8bbf5039fed7ffc7da33d06bddf,Alan,'RT @kyork20: VOTE FOR ME: ''How Video Will Save Sales'' #SXSW #musicmeetstech #panelpicker cc @DynInc http://t.co/5dKDPurE'
fd88e8bbf5039fed7ffc7da33d06bddf,Alan Wexelblat,Just renewed @DynInc Email Gateway. Mail server redundancy w/spam &amp; virus filtering. #email http://t.co/PK8YMnOk - best spam filter I know
fd88e8bbf5039fed7ffc7da33d06bddf,ali ferhat kilic,@DynInc    hello how long time i must to wait about mine.nu to work?
fd88e8bbf5039fed7ffc7da33d06bddf,ali ferhat kilic,@DynInc when does work http://t.co/HSqVg2oQ
fd88e8bbf5039fed7ffc7da33d06bd43,Alte Brotsuppe,@DynInc what kind of uptime guarantee do you offer for your anycast dynect platform? is it 100%? and how is it for your unicast dyndns?
fd88e8bbf5039fed7ffc7da33d06bd43,Alte Brotsuppe,@DynInc where can i find the latest information to your overage fees?
fd88e8bbf5039fed7ffc7da33d06bd43,Alyssa Buckley,RT @trendslide: Coming to the IdeaMensch Manchester event @DynInc this Friday!  http://t.co/cwGldsC5 #siliconmillyard
fd88e8bbf5039fed7ffc7da33d06bddf,Alyssa Buckley,@AfTranch biz dev manager http://t.co/OUQFsPyl best place to work in #nh #jobs via @DynInc
fd88e8bbf5039fed7ffc7da33d06bd43,Andrew@ICANNWiki,Kudos to ICANNWiki Sponsor @DynInc for their continued expansion -def the most exciting company to watch in their space http://t.co/IW2RueY4
fd88e8bbf5039fed7ffc7da33d06bddf,Andy Davies,RT @laraswanson: #IaaS leader @DynInc acquires #SEO &amp; #ecommerce talent from @incutio http://t.co/flwxQLiz via @dyninc
fd88e8bbf5039fed7ffc7da33d06bd43,Andy Piggott,RT @KristiSpeaks: Congrats to @DynInc @apiggott http://t.co/8NgRKOr8
fd88e8bbf5039fed7ffc7da33d06bddf,Andy Piggott,'@fjfish @troyd thanks for the warm wishes, I''m very excited for the journey ahead. cc @DynInc @incutio #hustle'
fd88e8bbf5039fed7ffc7da33d06bddf,Andy Piggott,RT @incutio: #IaaS leader @DynInc acquires #SEO &amp; #ecommerce talent from @incutio http://t.co/UKkgp4tK via @dyninc
fd88e8bbf5039fed7ffc7da33d06c85a,Andy Piggott,RT @KristiSpeaks: Fab.u.lous job opening for @DynInc EMEA Marketing Manager. http://t.co/P3ldm8CE
fd88e8bbf5039fed7ffc7da33d06bddf,Apollo Sinkevicius,@jhitchco What is going on with water at @DynInc ? All I see is birth announcements in the last 3 months :-)
fd88e8bbf5039fed7ffc7da33d06bddf,Armand du Plessis,'Must say, @dyninc is insanely expensive for managing DNS. Pity it''s such a pain to switch otherwise would''ve moved all domains long ago'
fd88e8bbf5039fed7ffc7da33d06bddf,baba,'@DynInc es mine.nu is down, thanks a lot :)'
fd88e8bbf5039fed7ffc7da33d06c85a,Ben Pendygraft,'@DynInc Do you not have free dynamic dns services anymore? I used to have a .ath.cx domain w. you, but I can''t find how to set it back up.'
fd88e8bbf5039fed7ffc7da33d06c85a,Ben Pendygraft,@DynInc do you not have any free ones anymore?
fd88e8bbf5039fed7ffc7da33d06bddf,Blueprint Marketing,@rahilsondhi @zerigo wow not fast service at all. Get @ultradns  @DynInc  @dnsmadeasy
fd88e8bbf5039fed7ffc7da33d06bddf,Bob Jelica,@dyninc status page is down.
fd88e8bbf5039fed7ffc7da33d06bd43,Bobby Condon,The @DynInc support #hustle never stops! @stokan @chrisgonyea
fd88e8bbf5039fed7ffc7da33d06bd43,Brendan Sheehan,Dyn CEO @JHitchco on our goals and vision for #IaaS superiority: http://t.co/YXXwvV5A via @dyninc
fd88e8bbf5039fed7ffc7da33d06bddf,Brendan Sheehan,First day @dyninc looking forward to begin my new adventures in the real world!
fd88e8bbf5039fed7ffc7da33d06bd43,Bryn Adler,Yay! RT @Dan_McA One glorious year at @DynInc today! Pretty crazy to look back and see how awesome this year has been http://t.co/lS5Rwx7J
fd88e8bbf5039fed7ffc7da33d06bd43,Carl Levine,'@McSalina @rbergin @DynInc bummer guys, I''m going to be at the Verizon for the Rush concert.'
