fd88e8bbf5039fed7ffc7da33d0cf54e,5DAY,Driving examiner strike on 13 September postponed http://t.co/F6yjYbRV via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfefa,'Access Bearings, Inc',Next Space Station Spacewalk to Be Broadcast on NASA TV http://t.co/7CqS32Ub via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cf54e,ACPM,'Team Up, Pressure Down http://t.co/yfleUNrF via @GovDelivery'
fd88e8bbf5039fed7ffc7da33d0cfe3d,ACPM,Childhood Obesity Awareness Month http://t.co/D25px3lS via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfb10,Adri Ocampo Senior,NASA Announces Asteroid Naming Contest for Students http://t.co/kXPJnMdl via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cf54e,Akinremi Thompson ,'Team Up, Pressure Down http://t.co/aBfANOq9 via @GovDelivery. Your choice !'
fd88e8bbf5039fed7ffc7da33d0cf54e,Akinremi Thompson ,'Team Up, Pressure Down http://t.co/gDjoZw34 via @GovDelivery'
fd88e8bbf5039fed7ffc7da33d0cfb10,al babbington,'CDC: Million Hearts Launches New Program to Improve Americans'' Blood Pressure Control http://t.co/2jZAVcn2 via @GovDelivery @pwamillionmore'
fd88e8bbf5039fed7ffc7da33d0ceb4b,Alan W. Silberberg,@GovDelivery @govloop Congrats!! That is awesome. :)
fd88e8bbf5039fed7ffc7da33d0ceb4b,Alan W. Silberberg,'RT @GovDelivery: Woot! RT @govloop: To celebrate hitting 60,000 members, I''m sending GovLoop swag (buttons, stickers) to members.  Email ...'
fd88e8bbf5039fed7ffc7da33d0cfe3d,Alan W. Silberberg,RT @GovDelivery: State Department adviser lays out pros and cons of Internet diplomacy: http://t.co/6TiCKi76 #digitalgov #gov20
fd88e8bbf5039fed7ffc7da33d0cfe3d,All Phases,IRS Summertime Tax Tip 2012-25: Back-to-School Tips for Students and Parents Paying College Expenses http://t.co/1WbnaHXm via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0ceb4b,Allison Harrington,'RT @GovDelivery: Woot! RT @govloop: To celebrate hitting 60,000 members, I''m sending GovLoop swag (buttons, stickers) to members.  Email ...'
fd88e8bbf5039fed7ffc7da33d0cf54e,Allison Harrington,Country fact sheets can be a great source for research. CIA Mobile Website http://t.co/8Hvzlb8Z via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfefa,Angel Ramos,S&amp;T Snapshots: Boston Subway System to be Used to Test New Sensors for Biological Agents http://t.co/Ma9mBUC2 via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0ceb4b,Ann Singleton Tax ,N-2012-60: Per Capita Payments from Proceeds of Settlements of Indian Tribal Trust Cases http://t.co/rFLNJJ5P via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfefa,Ann Singleton Tax ,IRS Summertime Tax Tip 2012-25: Back-to-School Tips for Students and Parents Paying College Expenses http://t.co/k0XHS34Y via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfefa,April Barnes,United States Department of Labor - Updates from Our Official Blog http://t.co/muiKxjGJ via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfb10,AssocforChildDev,'Women, obesity, and rheumatoid arthritis http://t.co/B1udjnQN via @GovDelivery'
fd88e8bbf5039fed7ffc7da33d0ceb4b,Auto Drive Wirral,Driving examiner strike on 13 September postponed http://t.co/9QLmzsqn via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfe3d,Bernie Shwayder,usnistgov: NIST Announces 12 Small #Business #Innovation Research Awards http://t.co/nOh5uMuN #SBIR http://t.co/050knvu7 via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfb10,Bob Rizzo,Contaminated Tattoo Inks Can Cause Dangerous Infections http://t.co/V8UcKEbm via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0ceb4b,Bobby Godinez,Explore the Redesigned http://t.co/51FgPzcE! http://t.co/f7E6yCss via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfe3d,Brad Murray,Approval Given to Plan to Ease Bus Traffic #Downtown; Moore Square Transit Station to Undergo http://t.co/BIfnxBk1 via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cf54e,Britannia Training,CONSTRUCTION INFONET - AUGUST 2012 http://t.co/vejcxtXt via @GovDelivery
fd88e8bbf5039fed7ffc7da33d0cfb10,Britannia Training,'Slips, Trips and Falls from Height eBulletin; September 2012 edition http://t.co/twM08JcA via @GovDelivery'
fd88e8bbf5039fed7ffc7da33d0cfb10,Bruce Hensler,USFA Library Weekly Newsletter http://t.co/L3WTiisq via @GovDelivery
