aamcomp,5fae06029bbe793553b81c6aca03928c	Aamcomp	Aamcomp
accessdata,5fae06029bbe793553b81c6aca0ee66a	Accessdata	accessdataCorp
activ8-career-coaching,5fae06029bbe793553b81c6aca182a2f	Activ8 Career Coaching	activ8careers
amadeus,5fae06029bbe793553b81c6aca62fce9	Amadeus	AmadeusITGroup
asap-systems,5fae06029bbe793553b81c6acaa30e5a	ASAP Systems	ASAP_Systems
atlasct,5fae06029bbe793553b81c6acab238ae	AtlasCT	atlas_ct
avenuesocial,5fae06029bbe793553b81c6acac59bdf	AvenueSocial	AvenueSocial
beecher-networks,5fae06029bbe793553b81c6acaeaed4a	Beecher Networks	BeecherNetworks
big-thought,fb79c1faa23e6537889b8b58ca00c2df	Big Thought	bigthought
callnet-corporation,fb79c1faa23e6537889b8b58ca71f5ff	CallNet Corporation	CallNetCorp
click-y-habla,fb79c1faa23e6537889b8b58cacddf12	Click y Habla	clickyhabla
collectivemedia,fb79c1faa23e6537889b8b58caead6aa	Collective 	collectivesays
componentone,fb79c1faa23e6537889b8b58cafa3799	ComponentOne	ComponentOne
computer-consulting-group,fb79c1faa23e6537889b8b58cafbd0b9	Computer Consulting Group	gbrinkccg
creman-innovation,c61e6a5dd61ef3ac28d02c864e2bb908	Creman Innovation	creman4u
datamark,c61e6a5dd61ef3ac28d02c864e54ddb6	Datamark	datamarkinc
datamark,c61e6a5dd61ef3ac28d02c864ec8c1e9	Datamark	datamarkinc
dek-software-international,c61e6a5dd61ef3ac28d02c864e6926d0	DEK Software International	deksoftwareint
dek-software-international,c61e6a5dd61ef3ac28d02c864edc6813	DEK Software International	deksoftwareint
groupbyte,bb00443be334273f59d3ef19d17f0b80	GroupByte	groupbyte
gtd,bb00443be334273f59d3ef19d1855cd3	GTD	angelramirezGTD
illustraetit,bb00443be334273f59d3ef19d1f9a029	Illustraetit	Illustraetit
intelisys-aviation-systems,597e595b22c7371d2769eb1fa032cd58	InteliSys Aviation Systems	InteliSysAir
jordan-edmiston-group,'597e595b22c7371d2769eb1fa0813500	Jordan, Edmiston Group	jordanedmiston'
kddi-web-communications,597e595b22c7371d2769eb1fa09a1409	KDDI Web Communications	kddiwebcom
kenexa-2,597e595b22c7371d2769eb1fa09dd787	Kenexa	Kenexa
kitchen-cabinet-kings,597e595b22c7371d2769eb1fa0ab585e	Kitchen Cabinet Kings	cabinetkings
landmarkonthenet-com,597e595b22c7371d2769eb1fa0caa5f8	Landmark Bookstore	landmarkstores
massimoagostinelli-com,83097a0e1641e8eda5b5ac717e43e4f1	MassimoAgostinelli.com	masagostinelli
millennium-by-harms-software,83097a0e1641e8eda5b5ac717e81e68d	Millennium by Harms Software	Millennium87
naxos-international,83097a0e1641e8eda5b5ac717ef2c050	Naxos International	Naxosrecords
parasoft,e054627bc6b1f1d8cb812cce42982fa5	Parasoft	parasoft
pic-business-systems,e054627bc6b1f1d8cb812cce42c78603	PIC Business Systems	PICBusiness
pic-business-systems-inc,'e054627bc6b1f1d8cb812cce42c7949e	PIC Business Systems, Inc.	PICBusiness'
planet-antares,e054627bc6b1f1d8cb812cce42d9ac46	Planet Antares	planetantares
prototek,5885c8f942b2d53de0f9ff90e11e4d92	Prototek Manufacturing	prototek
red-tie,5885c8f942b2d53de0f9ff90e165cdb3	Red Tie	dimestore
smittys-dot-golf,'08ea75d0b39da8eeca1e9129c73c8edc	Smitty''s Dot Golf	Smittysdotgolf'
southwest-windpower,08ea75d0b39da8eeca1e9129c76940b8	Southwest Windpower	swwindpower
tandis,08ea75d0b39da8eeca1e9129c7dd50ac	Tandis	TandisINC
travel-channel,907373444553d8ee3bfe8778cd695a24	Travel Channel	travelchannel
ultimate-shutter,907373444553d8ee3bfe8778cda1937f	Ultimate Shutter	ultimateshutter
vokent,40effe5288e80a75577c6fc05803014f	VOKENT	vokent
we-print-discs,40effe5288e80a75577c6fc0581af36a	We Print Discs	WePrintDiscs
